"Roll Kind","Roll ID","Roll In Date/Time","Roll Out Date/Time","Chock No. OP","Rolling Time","Chock No. DR","Rolling Length [km]","Rolling Weight [ton]"
"E1DR","2038","2022-05-10 16:21:35","2022-05-18 04:04:52","","7 days, 11:43:17","","131.2","49086"
"E1OP","2037","2022-05-10 16:21:35","2022-05-18 04:04:52","","7 days, 11:43:17","","131.2","49086"
"R1TWR","3217","2022-05-10 15:48:37","2022-05-18 04:04:52","","7 days, 12:16:14","","324.6","52823"
"R1TBR","4219","2022-05-10 15:48:37","2022-05-18 04:04:52","","7 days, 12:16:14","","324.6","52823"
"R1BWR","3218","2022-05-10 15:48:37","2022-05-18 04:04:52","","7 days, 12:16:14","","324.6","52823"
"R1BBR","4220","2022-05-10 15:48:37","2022-05-18 04:04:52","","7 days, 12:16:14","","324.6","52823"
"F1EDR","529","2022-04-22 00:22:36","2022-05-18 03:55:31","","26 days, 03:32:55","","0","0"
"F1EOP","527","2022-04-22 00:22:36","2022-05-18 03:55:31","","26 days, 03:32:55","","0","0"
"F2TWR","F2W03","2022-05-10 18:10:17","2022-05-17 06:16:43","","6 days, 12:06:25","","314.4","45653"
"F2TBR","5002","2022-04-19 22:36:58","2022-05-17 06:16:43","","27 days, 07:39:44","","0","0"
"F2BWR","F2W04","2022-05-10 18:10:17","2022-05-17 06:16:43","","6 days, 12:06:25","","314.4","45653"
"F2BBR","5003","2022-04-19 22:36:58","2022-05-17 06:16:43","","27 days, 07:39:44","","0","0"
"F3TWR","F3W03","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","470.7","29974"
"F3TBR","5004","2022-04-19 22:42:47","2022-05-17 10:02:56","","27 days, 11:20:08","","0","0"
"F3BWR","F3W04","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","470.7","29974"
"F3BBR","5005","2022-04-19 22:42:47","2022-05-17 10:02:56","","27 days, 11:20:08","","0","0"
"F4TWR","F4W03","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","758.1","46793"
"F4TBR","5006","2022-04-19 22:43:46","2022-05-17 10:02:56","","27 days, 11:19:09","","0","0"
"F4BWR","F4W04","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","758.1","46793"
"F4BBR","5007","2022-04-19 22:43:46","2022-05-17 10:02:56","","27 days, 11:19:09","","0","0"
"F5TWR","F5W03","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","923.9","27381"
"F5TBR","5008","2022-04-19 22:44:46","2022-05-17 10:02:56","","27 days, 11:18:09","","0","0"
"F5BWR","F5W04","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","923.9","27381"
"F5BBR","5009","2022-04-19 22:44:46","2022-05-17 10:02:56","","27 days, 11:18:09","","0","0"
"F6TWR","F6W03","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","1186.5","46811"
"F6TBR","5010","2022-04-19 22:45:31","2022-05-17 10:02:56","","27 days, 11:17:25","","0","0"
"F6BWR","F6W04","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","1186.5","46811"
"F6BBR","5011","2022-04-19 22:45:31","2022-05-17 10:02:56","","27 days, 11:17:25","","0","0"
"F7TWR","F7W04","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","1326.3","46811"
"F7TBR","5012","2022-04-19 22:46:52","2022-05-17 10:02:56","","27 days, 11:16:03","","0","0"
"F7BWR","F7W04","2022-05-10 18:10:17","2022-05-17 10:02:56","","6 days, 15:52:38","","1326.3","46811"
"F7BBR","5013","2022-04-19 22:46:52","2022-05-17 10:02:56","","27 days, 11:16:03","","0","0"